"DateTime","Branch","FromBus","ToBus","Flow (MW) (From->To)","Capacity (MW)","DynamicLoss (MW)","FixedLoss (MW)","FromBusPrice ($/MWh)","ToBusPrice ($/MWh)","BranchPrice ($/MWh)","BranchRentals ($)"
"20-OCT-2013 07:30","OAM_BPT_WTK1.1","682","771",12.06,55.00,0.15,0.00,9.16,9.30,0.00,0.16
"20-OCT-2013 07:30","OAM_BPT_WTK1.2","682","677",-12.35,70.68,0.11,0.00,9.16,9.06,0.00,0.10
"20-OCT-2013 07:30","OAM_BPT_WTK1.3","682","681",0.18,46.00,0.00,0.00,9.16,9.16,0.00,0.00
"20-OCT-2013 07:30","OAM_STU_WTK2.1","642","647",5.37,56.27,0.04,0.00,9.32,9.38,0.00,-0.04
"20-OCT-2013 07:30","OAM_STU_WTK2.2","683","676",-23.38,70.68,0.33,0.00,9.33,9.02,0.00,2.11
"20-OCT-2013 07:30","OAM_STU_WTK2.3","642","664",15.02,77.00,0.12,0.00,9.32,9.32,0.00,-0.54
"20-OCT-2013 07:30","OAM_STU_WTK2.4","683","642",20.45,74.00,0.06,0.00,9.33,9.32,0.00,-0.41
"20-OCT-2013 07:30","OAM_T1.T1","771","646",11.90,61.90,0.02,0.02,9.30,9.35,0.00,0.13
"20-OCT-2013 07:30","OAM_T2.T2","647","646",5.31,61.90,0.01,0.02,9.38,9.35,0.00,-0.21
"20-OCT-2013 07:30","OHA_T4.T4","652","651",-28.57,2000.00,0.00,0.00,9.08,9.08,0.00,0.00
"20-OCT-2013 07:30","OHA_T5.T5","652","650",-28.57,2000.00,0.00,0.00,9.08,9.08,0.00,0.00
"20-OCT-2013 07:30","OHA_T6.T6","652","648",-28.57,2000.00,0.00,0.00,9.08,9.08,0.00,0.00
"20-OCT-2013 07:30","OHA_T7.T7","652","649",-28.57,2000.00,0.00,0.00,9.08,9.08,0.00,0.00
"20-OCT-2013 07:30","OHA_TWZ1.1","652","669",57.15,365.00,0.05,0.00,9.08,9.08,0.00,0.00
"20-OCT-2013 07:30","OHA_TWZ2.1","652","669",57.15,365.00,0.05,0.00,9.08,9.08,0.00,0.00
"20-OCT-2013 07:30","OHB_T10.T10","657","653",-23.23,2000.00,0.00,0.00,9.08,9.08,0.00,0.00
"20-OCT-2013 07:30","OHB_T11.T11","657","656",-23.23,2000.00,0.00,0.00,9.08,9.08,0.00,0.00
"20-OCT-2013 07:30","OHB_T8.T8","657","655",-23.23,2000.00,0.00,0.00,9.08,9.08,0.00,0.00
"20-OCT-2013 07:30","OHB_T9.T9","657","654",-23.23,2000.00,0.00,0.00,9.08,9.08,0.00,0.00
"20-OCT-2013 07:30","OHB_TWZ.1","657","669",98.47,730.48,0.04,0.00,9.08,9.08,0.00,-0.04
"20-OCT-2013 07:30","OHC_T12.T12","662","661",-23.23,2000.00,0.00,0.00,9.06,9.06,0.00,0.00
"20-OCT-2013 07:30","OHC_T13.T13","662","660",-23.23,2000.00,0.00,0.00,9.06,9.06,0.00,0.00
"20-OCT-2013 07:30","OHC_T14.T14","662","659",-23.23,2000.00,0.00,0.00,9.06,9.06,0.00,0.00
"20-OCT-2013 07:30","OHC_T15.T15","662","658",-23.23,2000.00,0.00,0.00,9.06,9.06,0.00,0.00
"20-OCT-2013 07:30","OHC_TWZ.1","662","669",81.75,730.48,0.12,0.00,9.06,9.08,0.00,0.33
"20-OCT-2013 07:30","OHK_T1.T1","186","182",0.00,2000.00,0.00,0.00,9.96,9.96,0.00,0.00
"20-OCT-2013 07:30","OHK_T2.T2","186","184",0.00,2000.00,0.00,0.00,9.96,9.96,0.00,0.00
"20-OCT-2013 07:30","OHK_T3.T3","186","185",0.00,2000.00,0.00,0.00,9.96,9.96,0.00,0.00
"20-OCT-2013 07:30","OHK_T4.T4","186","183",0.00,2000.00,0.00,0.00,9.96,9.96,0.00,0.00
"20-OCT-2013 07:30","OHK_WRK.1","186","229",-195.15,405.06,1.90,0.00,9.96,9.76,0.00,9.71
"20-OCT-2013 07:30","OHW_OTA1.1","155","79",94.96,643.60,0.95,0.00,10.30,10.38,0.00,-0.87
"20-OCT-2013 07:30","OHW_OTA2.1","155","78",94.63,643.60,0.95,0.00,10.30,10.38,0.00,-0.88
"20-OCT-2013 07:30","OHW_WKM1.1","155","199",-113.63,644.00,1.85,0.00,10.30,10.16,0.00,-1.67
"20-OCT-2013 07:30","OKE_OWH.1","265","267",-8.51,63.00,0.02,0.00,10.07,10.05,0.00,-0.01
"20-OCT-2013 07:30","OKE_TMI.1","265","282",12.99,70.68,0.08,0.00,10.07,10.09,0.00,-0.25
"20-OCT-2013 07:30","OKE_TRK.1","265","276",-4.53,70.68,0.02,0.00,10.07,10.04,0.00,-0.06
"20-OCT-2013 07:30","OKI_T1.T1","239","235",-17.12,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T11.H11","235","237",0.00,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T11.L11","230","237",0.00,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T11.M11","234","237",0.00,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T12.L12","231","238",0.00,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T12.M12","232","238",0.00,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T12.T12","236","238",0.00,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T2.T2","239","236",-17.12,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T5.T5","239","233",-3.77,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_WRK1.1","239","229",32.76,481.00,0.11,0.00,9.73,9.76,0.00,0.00
"20-OCT-2013 07:30","OKN_ONG1.1","398","399",15.13,63.83,0.10,0.00,10.30,10.30,0.00,-0.48
"20-OCT-2013 07:30","OKN_ONG1.2","146","399",-13.49,63.83,0.15,0.00,10.31,10.30,0.00,-0.76
"20-OCT-2013 07:30","OKN_ONG1.3","396","399",-1.54,54.49,0.00,0.00,10.33,10.30,0.00,0.00
"20-OCT-2013 07:30","OKN_T1.T1","397","398",-3.03,10.00,0.01,0.04,10.31,10.30,0.00,-0.19
"20-OCT-2013 07:30","ONG_T1.T1","146","145",-1.88,19.60,0.00,0.03,10.31,10.29,0.00,-0.16
"20-OCT-2013 07:30","OPK_KPI_SFD2.1","332","761",5.59,73.00,0.03,0.00,9.90,9.96,0.00,0.01
"20-OCT-2013 07:30","OPK_KPI_SFD2.2","332","349",12.41,56.00,0.05,0.00,9.90,9.93,0.00,-0.02
"20-OCT-2013 07:30","OPK_KPI_SFD2.3","332","334",-18.00,2000.00,0.00,0.00,9.90,9.90,0.00,0.00
"20-OCT-2013 07:30","OPK_SFD1.1","345","349",-3.97,70.00,0.04,0.00,10.03,9.93,0.00,-0.01
"20-OCT-2013 07:30","OPK_T4.T4","761","344",5.55,13.55,0.01,0.02,9.96,10.02,0.00,0.04
"20-OCT-2013 07:30","OPK_T5.T5","345","344",3.92,13.55,0.00,0.02,10.03,10.02,0.00,-0.13
"20-OCT-2013 07:30","OTA_PAK3.1","79","95",-78.06,610.00,0.02,0.00,10.38,10.38,0.00,0.10
"20-OCT-2013 07:30","OTA_PAK4.1","78","95",-83.86,1198.00,0.04,0.00,10.38,10.38,0.00,0.03
"20-OCT-2013 07:30","OTA_PEN2.1","749","64",31.01,187.00,0.08,0.00,10.39,10.41,0.00,-0.11
"20-OCT-2013 07:30","OTA_PEN5.1","78","65",91.90,481.00,0.14,0.00,10.38,10.40,0.00,0.05
"20-OCT-2013 07:30","OTA_PEN6.1","80","65",100.92,481.00,0.15,0.00,10.38,10.40,0.00,0.12
"20-OCT-2013 07:30","OTA_ROS1.1","76","93",18.12,97.00,0.11,0.00,10.38,10.42,0.00,-0.12
"20-OCT-2013 07:30","OTA_ROS2.1","76","93",18.31,97.00,0.11,0.00,10.38,10.42,0.00,-0.12
"20-OCT-2013 07:30","OTA_SWN.1","79","31",186.31,915.00,0.16,0.00,10.38,10.39,0.00,0.06
"20-OCT-2013 07:30","OTA_T11.T11","73","79",-12.84,58.70,0.02,0.09,10.40,10.38,0.00,-0.47
"20-OCT-2013 07:30","OTA_T12.T12","73","79",-12.57,58.70,0.02,0.08,10.40,10.38,0.00,-0.41
"20-OCT-2013 07:30","OTA_T2.L2","782","75",0.00,79.20,0.00,0.00,10.39,10.39,0.00,0.00
"20-OCT-2013 07:30","OTA_T2.M2","749","75",-34.16,135.00,0.01,0.00,10.39,10.39,0.00,0.02
"20-OCT-2013 07:30","OTA_T2.T2","79","75",34.24,158.00,0.01,0.15,10.38,10.39,0.00,-0.76
"20-OCT-2013 07:30","OTA_T21.T21","77","68",0.00,2000.00,0.00,0.00,10.39,10.39,0.00,0.00
"20-OCT-2013 07:30","OTA_T26.T26","750","69",0.00,2000.00,0.00,0.00,10.38,10.38,0.00,0.00
"20-OCT-2013 07:30","OTA_T3.T3","79","76",64.70,323.60,0.04,0.05,10.38,10.38,0.00,-0.63
"20-OCT-2013 07:30","OTA_T4.L4","784","74",0.00,76.20,0.00,0.00,10.39,10.39,0.00,0.00
"20-OCT-2013 07:30","OTA_T4.M4","749","74",-55.24,254.00,0.02,0.00,10.39,10.39,0.00,0.01
"20-OCT-2013 07:30","OTA_T4.T4","79","74",55.36,254.00,0.04,0.15,10.38,10.39,0.00,-0.90
"20-OCT-2013 07:30","OTA_T5.T5","79","76",64.33,316.20,0.03,0.05,10.38,10.38,0.00,-0.57
"20-OCT-2013 07:30","OTA_TIE1.1","749","77",1.52,2000.00,0.00,0.00,10.39,10.39,0.00,0.00
"20-OCT-2013 07:30","OTA_TIE2.1","76","750",0.52,2000.00,0.00,0.00,10.38,10.38,0.00,0.00
"20-OCT-2013 07:30","OTA_TIE3.1","79","80",-118.08,682.00,0.01,0.00,10.38,10.38,0.00,-0.01
"20-OCT-2013 07:30","OTA_TIE4.1","79","78",10.31,714.00,0.00,0.00,10.38,10.38,0.00,0.00
"20-OCT-2013 07:30","OTA_TIE5.1","79","78",6.19,714.00,0.00,0.00,10.38,10.38,0.00,0.00
"20-OCT-2013 07:30","OTA_WKM1.1","79","199",-70.55,336.85,1.94,0.00,10.38,10.16,0.00,-2.18
"20-OCT-2013 07:30","OTA_WKM2.1","79","199",-70.63,336.85,1.94,0.00,10.38,10.16,0.00,-2.19
"20-OCT-2013 07:30","OTC_GEN.1","82","80",219.00,2000.00,0.00,0.00,10.38,10.38,0.00,0.00
"20-OCT-2013 07:30","OTC_T1.T1","82","81",-219.00,2000.00,0.00,0.00,10.38,10.38,0.00,0.00
"20-OCT-2013 07:30","OTI_T6.T6","611","610",0.11,2.50,0.00,0.00,8.95,8.96,0.00,-0.01
"20-OCT-2013 07:30","PAK_T1.T1","95","94",16.86,140.80,0.02,0.04,10.38,10.39,0.00,-0.23
"20-OCT-2013 07:30","PAK_T2.T2","95","94",16.86,140.80,0.02,0.04,10.38,10.39,0.00,-0.23
"20-OCT-2013 07:30","PAK_T3.T3","95","94",16.87,140.80,0.02,0.04,10.38,10.39,0.00,-0.23
"20-OCT-2013 07:30","PAK_WKM1.1","96","95",106.30,633.00,0.03,0.00,10.37,10.38,0.00,0.11
"20-OCT-2013 07:30","PAK_WKM1.2","96","200",-107.90,1129.00,1.61,0.00,10.37,10.16,0.00,3.10
"20-OCT-2013 07:30","PAK_WKM2.1","97","95",106.36,633.00,0.03,0.00,10.37,10.38,0.00,0.11
"20-OCT-2013 07:30","PAK_WKM2.2","97","200",-107.96,1129.00,1.61,0.00,10.37,10.16,0.00,3.10
"20-OCT-2013 07:30","PAL_T1.T1","726","725",4.43,10.00,0.02,0.02,9.18,9.26,0.00,0.00
"20-OCT-2013 07:30","PEN_STC1A.1","62","63",0.00,2000.00,0.00,0.00,10.42,10.42,0.00,0.00
"20-OCT-2013 07:30","PEN_STC1B.1","62","63",0.00,2000.00,0.00,0.00,10.42,10.42,0.00,0.00
"20-OCT-2013 07:30","PEN_T10.T10","65","64",41.74,254.00,0.00,0.13,10.40,10.41,0.00,-0.46
"20-OCT-2013 07:30","PEN_T11.T11","65","62",44.77,225.80,0.11,0.06,10.40,10.42,0.00,-0.52
"20-OCT-2013 07:30","PEN_T21.T21","60","62",-6.29,45.30,0.01,0.00,10.43,10.42,0.00,-0.02
"20-OCT-2013 07:30","PEN_T22.T22","60","62",-6.03,44.40,0.01,0.00,10.43,10.42,0.00,-0.02
"20-OCT-2013 07:30","PEN_T23.T23","60","62",-6.06,45.00,0.01,0.00,10.43,10.42,0.00,-0.03
"20-OCT-2013 07:30","PEN_T5.T5","65","61",0.01,47.50,0.00,0.01,10.40,10.41,0.00,-0.06
"20-OCT-2013 07:30","PEN_T6.T6","65","64",19.63,297.30,0.01,0.05,10.40,10.41,0.00,-0.20
"20-OCT-2013 07:30","PEN_T7.T7","65","62",41.55,169.00,0.03,0.05,10.40,10.42,0.00,-0.11
"20-OCT-2013 07:30","PEN_T8.T8","65","779",0.06,203.10,0.00,0.12,10.40,10.41,0.00,-0.62
"20-OCT-2013 07:30","PEN_T9.T9","65","62",44.50,203.10,0.06,0.12,10.40,10.42,0.00,-0.56
"20-OCT-2013 07:30","PNI_T1.T1","469","468",3.27,22.20,0.01,0.04,9.69,9.70,0.00,-0.19
"20-OCT-2013 07:30","PNI_T2.T2","470","468",3.26,27.40,0.01,0.01,9.69,9.70,0.00,-0.05
"20-OCT-2013 07:30","PPI_T1.T1","215","214",-51.00,2000.00,0.00,0.00,10.11,10.11,0.00,0.00
"20-OCT-2013 07:30","PPI_THI1.1","215","271",51.00,272.00,0.01,0.00,10.11,10.11,0.00,0.00
"20-OCT-2013 07:30","PRM_PNI_TKR1.1","469","763",12.97,74.00,0.07,0.00,9.69,9.74,0.00,0.00
"20-OCT-2013 07:30","PRM_PNI_TKR1.2","469","472",-16.29,100.00,0.04,0.00,9.69,9.66,0.00,0.00
"20-OCT-2013 07:30","PRM_PNI_TKR2.1","470","467",13.00,74.00,0.07,0.00,9.69,9.74,0.00,0.00
"20-OCT-2013 07:30","PRM_PNI_TKR2.2","470","472",-16.31,100.00,0.04,0.00,9.69,9.66,0.00,0.00
"20-OCT-2013 07:30","PRM_T3.T3","467","466",12.92,70.20,0.03,0.03,9.74,9.76,0.00,-0.15
"20-OCT-2013 07:30","PRM_T4.T4","763","466",12.88,70.20,0.03,0.03,9.74,9.76,0.00,-0.15
"20-OCT-2013 07:30","PRU_T1.T1","680","679",-11.50,2000.00,0.00,0.00,9.09,9.09,0.00,0.00
"20-OCT-2013 07:30","PTA_T1.T1","360","359",-21.00,2000.00,0.00,0.00,9.92,9.92,0.00,0.00
"20-OCT-2013 07:30","RDF_T1.T1","317","316",13.03,142.00,0.01,0.05,9.92,9.93,0.00,-0.21
"20-OCT-2013 07:30","RDF_T2.T2","317","316",12.55,64.00,0.02,0.04,9.92,9.93,0.00,-0.22
"20-OCT-2013 07:30","RDF_T3.T3","318","317",35.14,101.00,0.05,0.04,9.88,9.92,0.00,0.31
"20-OCT-2013 07:30","RDF_T4.T4","318","317",35.14,101.00,0.05,0.04,9.88,9.92,0.00,0.31
"20-OCT-2013 07:30","RDF_TUI1.1","317","302",4.18,63.83,0.09,0.00,9.92,10.17,0.00,0.06
"20-OCT-2013 07:30","RDF_TUI2.1","317","302",4.18,63.83,0.09,0.00,9.92,10.17,0.00,0.06
"20-OCT-2013 07:30","RDF_WHI1.1","318","307",-22.65,476.00,0.04,0.00,9.88,9.86,0.00,0.01
"20-OCT-2013 07:30","RDF_WRK.1","318","229",-82.68,533.09,1.01,0.00,9.88,9.76,0.00,-0.13
"20-OCT-2013 07:30","RDF_WTU1.1","318","323",16.98,274.36,0.01,0.00,9.88,9.89,0.00,0.00
"20-OCT-2013 07:30","RDF_WTU2.1","318","759",16.98,347.00,0.02,0.00,9.88,9.89,0.00,0.00
"20-OCT-2013 07:30","RKA_T1.T1","286","758",-33.00,2000.00,0.00,0.00,9.70,9.70,0.00,0.00
"20-OCT-2013 07:30","RKA_WRK1.1","286","226",33.00,2000.00,0.00,0.00,9.70,9.70,0.00,0.00
"20-OCT-2013 07:30","ROS_T2.T2","93","92",17.39,80.50,0.02,0.02,10.42,10.44,0.00,-0.09
"20-OCT-2013 07:30","ROS_T3.T3","93","92",11.67,60.20,0.02,0.08,10.42,10.44,0.00,-0.39
"20-OCT-2013 07:30","ROS_T4.T4","93","92",17.39,80.50,0.02,0.02,10.42,10.44,0.00,-0.09
"20-OCT-2013 07:30","ROT_T2.T2","274","273",15.06,66.00,0.03,0.02,10.08,10.14,0.00,0.24
"20-OCT-2013 07:30","ROT_T3.T3","272","757",-6.11,25.40,0.01,0.05,10.18,10.16,0.00,-0.27
"20-OCT-2013 07:30","ROT_T4.T4","272","757",-5.99,26.20,0.01,0.05,10.18,10.16,0.00,-0.27
"20-OCT-2013 07:30","ROT_T5.T5","757","273",11.95,66.00,0.02,0.02,10.16,10.14,0.00,-0.33
"20-OCT-2013 07:30","ROT_TRK1.1","757","276",-24.21,70.68,0.09,0.00,10.16,10.04,0.00,0.99
"20-OCT-2013 07:30","ROT_TRK2.1","274","276",-3.08,70.68,0.01,0.00,10.08,10.04,0.00,0.01
"20-OCT-2013 07:30","ROT_WHE1.1","274","288",-12.00,2000.00,0.00,0.00,10.08,10.08,0.00,0.00
"20-OCT-2013 07:30","ROX_T1.T1","738","731",-32.80,2000.00,0.00,0.00,9.02,9.02,0.00,0.00
"20-OCT-2013 07:30","ROX_T10.L10","816","736",0.00,10.40,0.00,0.00,8.89,8.89,0.00,0.00
"20-OCT-2013 07:30","ROX_T10.M10","737","736",31.75,188.00,0.02,0.00,8.90,8.89,0.00,-0.17
"20-OCT-2013 07:30","ROX_T10.T10","738","736",-31.71,188.00,0.01,0.03,9.02,8.89,0.00,1.82
"20-OCT-2013 07:30","ROX_T2.T2","738","730",-32.80,2000.00,0.00,0.00,9.02,9.02,0.00,0.00
"20-OCT-2013 07:30","ROX_T3.T3","738","729",-32.80,2000.00,0.00,0.00,9.02,9.02,0.00,0.00
"20-OCT-2013 07:30","ROX_T4.T4","738","732",-32.80,2000.00,0.00,0.00,9.02,9.02,0.00,0.00
"20-OCT-2013 07:30","ROX_T5.T5","738","727",-32.80,2000.00,0.00,0.00,9.02,9.02,0.00,0.00
"20-OCT-2013 07:30","ROX_T6.T6","737","735",-33.33,2000.00,0.00,0.00,8.90,8.90,0.00,0.00
"20-OCT-2013 07:30","ROX_T7.T7","737","734",-33.33,2000.00,0.00,0.00,8.90,8.90,0.00,0.00
"20-OCT-2013 07:30","ROX_T8.T8","737","733",-33.33,2000.00,0.00,0.00,8.90,8.90,0.00,0.00
"20-OCT-2013 07:30","ROX_TMH1.1","738","741",64.66,429.83,0.45,0.00,9.02,9.07,0.00,-0.21
"20-OCT-2013 07:30","ROX_TMH2.1","738","741",64.66,429.83,0.45,0.00,9.02,9.07,0.00,-0.21
"20-OCT-2013 07:30","RPO_T5.T5","363","362",-51.00,2000.00,0.00,0.00,9.66,9.66,0.00,0.00
"20-OCT-2013 07:30","RPO_T6.T6","363","361",-51.00,2000.00,0.00,0.00,9.66,9.66,0.00,0.00
"20-OCT-2013 07:30","RPO_TNG1.1","363","404",54.31,266.35,0.27,0.00,9.66,9.70,0.00,-0.27
"20-OCT-2013 07:30","RPO_WRK1.1","363","229",47.69,380.67,0.43,0.00,9.66,9.76,0.00,0.31
"20-OCT-2013 07:30","SBK_T1.T1","543","542",10.31,46.59,0.01,0.02,9.52,9.54,0.00,-0.09
"20-OCT-2013 07:30","SBK_T2.T2","543","542",10.31,46.59,0.01,0.02,9.52,9.54,0.00,-0.09
"20-OCT-2013 07:30","SBK_WPR.1","543","547",-8.33,42.41,0.12,0.00,9.52,9.40,0.00,-0.06
"20-OCT-2013 07:30","SDN_T1.T1","740","739",14.86,81.30,0.01,0.06,9.09,9.09,0.00,-0.29
"20-OCT-2013 07:30","SDN_T2.T2","740","739",9.46,81.30,0.01,0.04,9.09,9.09,0.00,-0.19
"20-OCT-2013 07:30","SDN_TMH.1","740","741",-21.34,352.00,0.02,0.00,9.09,9.07,0.00,0.03
"20-OCT-2013 07:30","SFD_SPL.1","350","352",0.00,2000.00,0.00,0.00,9.93,9.93,0.00,0.00
"20-OCT-2013 07:30","SFD_T10.T10","350","349",11.29,135.00,0.01,0.11,9.93,9.93,0.00,-0.57
"20-OCT-2013 07:30","SFD_T21.T21","350","347",0.00,2000.00,0.00,0.00,9.93,9.93,0.00,0.00
"20-OCT-2013 07:30","SFD_T22.T22","350","346",0.00,2000.00,0.00,0.00,9.93,9.93,0.00,0.00
"20-OCT-2013 07:30","SFD_T5.T5","349","348",9.18,23.20,0.03,0.06,9.93,10.01,0.00,-0.13
"20-OCT-2013 07:30","SFD_T6.T6","349","348",9.19,23.20,0.03,0.06,9.93,10.01,0.00,-0.13
"20-OCT-2013 07:30","SFD_TMN1.1","350","401",37.38,455.36,0.60,0.00,9.93,10.06,0.00,-0.65
"20-OCT-2013 07:30","SPL_T10.T10","352","351",0.00,2000.00,0.00,0.00,9.93,9.93,0.00,0.00
"20-OCT-2013 07:30","SPN_T1.T1","545","544",10.62,69.00,0.02,0.02,9.43,9.44,0.00,-0.09
"20-OCT-2013 07:30","SPN_T2.T2","545","544",10.62,69.00,0.02,0.02,9.43,9.44,0.00,-0.09
"20-OCT-2013 07:30","STK_T10.T10","511","505",22.65,136.00,0.02,0.03,9.62,9.63,0.00,-0.16
"20-OCT-2013 07:30","STK_T3.L3","801","509",0.00,14.10,0.00,0.00,9.65,9.65,0.00,0.00
"20-OCT-2013 07:30","STK_T3.M3","507","509",-12.84,28.00,0.01,0.00,9.67,9.65,0.00,0.07
"20-OCT-2013 07:30","STK_T3.T3","510","509",12.86,30.90,0.00,0.05,9.65,9.65,0.00,-0.23
"20-OCT-2013 07:30","STK_T6.T6","511","505",22.62,136.00,0.02,0.03,9.62,9.63,0.00,-0.16
"20-OCT-2013 07:30","STK_T7.L7","503","508",0.00,24.00,0.00,0.00,9.65,9.65,0.00,0.00
"20-OCT-2013 07:30","STK_T7.M7","510","508",-22.25,158.80,0.01,0.00,9.65,9.65,0.00,-0.02
"20-OCT-2013 07:30","STK_T7.T7","511","508",22.27,180.00,0.00,0.04,9.62,9.65,0.00,0.04
